link,title,datetime,abstract
/realtimenews/20230314004935-260407,二膽兵「救生衣哪來的」成謎團 陸軍專案報告這樣說,2023-03-14 19:14,金防部烈嶼守備隊二膽島陳姓上兵9日突失聯，傳穿救生衣游離被大陸海警救起，目前確認人已在對岸，明若未歸營檢方將發布通緝。但陸軍司令部專案報告指出，金防部就軍械、彈藥、救生衣、通信資訊等裝備實施清查，均無
/realtimenews/20230314004848-260407,拜登毀台論是真的？蔡正元震驚：美前國安顧問竟喊這句,2023-03-14 18:57,前立委蔡正元日前轉載美國媒體人推特，指白宮內部人士爆料，拜登曾脫口說出有「毀滅台灣計畫」，驚悚程度遠超過新保守主義分子搞出來的烏克蘭災難，引發國內一陣熱議。蔡正元今(14日)在臉書發文指出，曾在川普政
/realtimenews/20230314004764-260407,退役軍人堅持赴陸「慶黃埔」 國民黨反對：勿陷同袍於不義,2023-03-14 18:41,針對部分退伍軍人社團出現號召黃埔校友赴大陸參加黃埔軍校建校99周年活動之資訊，引發社會各界譁然。國民黨發言人林家興表示，除本黨黃復興黨部季麟連主委已發聲明表態「期期以為不可」外，在此也呼籲相關退伍人士
/realtimenews/20230314004765-260407,仍有黃埔校友欲赴陸參訪 黃復興黨部主委：期期不可,2023-03-14 18:36,退伍軍人社團號召500名黃埔校友赴陸參加黃埔軍校99周年活動，引來退輔會主委馮世寬等人出言勸阻，國民黨軍系黃復興黨部主委季麟連今（14）日亦發出聲明表示「期期不可」，並強調現應團結以「下架民進黨」為鵠
/realtimenews/20230314004762-260407,中台灣8強聯手 加深縣市跨域合作,2023-03-14 18:35,中台灣區域治理平台今年由新竹縣政府主政，近日召開第1次幕僚組會議，針對平台的運作機制、歷次會議繼續列管案件，以及6大議題組提出的新增合作提案等展開討論。今年提出20個新增合作提案，以農產行銷組最多，提
/realtimenews/20230314004663-260407,綠營未定於一尊？不只賴清德 他揭：還有「資深黨員」領表,2023-03-14 18:16,民進黨總統初選起跑，13日起至17日領表登記，副總統賴清德昨(13日)上午派人領表，預計明(15日)上午登記，並就參選理由發表簡短談話。身兼民進黨主席的賴清德13日表示，17日登記結束後，若有2人以上
/realtimenews/20230314004494-260407,侯友宜稱新北是台灣「最大市」 民進黨：侯市府締結姊妹市數 六都最低,2023-03-14 18:09,國民黨新北市長侯友宜今受訪指出，新北市是台灣「最大市」也會「做大事」，民進黨新聞部主任張志豪表示，侯市府締結「市級對市級」的姊妹市數量只有10個，還是六都最低，這個數字至今依然沒有改變，侯市長怎麼好意
/realtimenews/20230314004281-260407,新北議員李余典稱將投入民進黨立委初選 辦公室、兒子皆稱不知情,2023-03-14 18:01,民進黨20日起立委選舉提名登記，由於外傳新北市三重區立法委員余天本屆將不爭取連任，也有多位現任市議員摩拳擦掌希望角逐立委，除了彭佳芸宣布近日決定是否投入民進黨初選外，有媒體也報導民進黨蘇系的新北市議員
/realtimenews/20230314004462-260407,朱立倫請益2024 馬英九盼國民黨團結一致,2023-03-14 17:59,國民黨主席朱立倫著手啟動2024總統及立委大選提名機制，並展開拜會行程，朱立倫今透露，他到馬英九基金會拜會前總統馬英九，就2024大選相關議題向馬總統請益，馬總統特別期許全黨要團結一致，避免爭議，才有
/realtimenews/20230314004345-260407,台中巨蛋預算追加到近百億 盧秀燕：沒通過保證流標,2023-03-14 17:54,台中巨蛋因原物料上漲、缺工等因素6度上網發包流標，中市府追加預算34億餘元，總經費達近百億，14日台中市議會臨時會專案報告，民進黨市議員批評市府應講清楚預算追加部分「用在哪」？藍營市議員認為，物價飆漲
